,Symbol,longName,Name,IPO Year,Sector,Effective annual return,CIQ ID,Ticker,Country.1,Short Business Description,IQ_TOTAL_REV,IQ_RETURN_ASSETS,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_EBITDA_MARGIN,IQ_NI_MARGIN,IQ_AUDITOR_OPINION,IQ_ASSET_TURNS,IQ_CURRENT_RATIO,IQ_DAYS_SALES_OUT,IQ_DAYS_INVENTORY_OUT,IQ_DAYS_PAYABLE_OUT,IQ_TOTAL_DEBT_EQUITY,IQ_TOTAL_REV_1YR_ANN_GROWTH,IQ_NI_1YR_ANN_GROWTH,IQ_CFO_1YR_ANN_GROWTH,IQ_TOTAL_ASSETS_1YR_ANN_GROWTH,IQ_EBITDA,IQ_PAYOUT_RATIO,IQ_CASH_ST_INVEST,IQ_NPPE,IQ_GW,IQ_RE,IQ_TBV,IQ_NET_DEBT,IQ_CONTINGENT_LIABILITIES,IQ_CASH_OPER,IQ_CASH_INVEST,IQ_NET_CHANGE
0,A,"Agilent Technologies, Inc.",Agilent Technologies Inc. Common Stock,1999.0,Industrials,0.152927785,IQ154924,NYSE:A,United States,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide.",4481.0,2.6848,-1.2221,52.8676,10.6226,-0.6918,Unqualified with Additional Language,0.61304,3.52716,55.59279,103.52021,55.61797,115.5529,-22.3935,0.0,-46.0318,8.6342,476.0,0.0,2493.0,845.0,655.0,2760.0,1684.0,412.0,0.0,408.0,-14.0,1074.0
1,AA,Alcoa Corporation,Alcoa Corporation Common Stock ,2016.0,Industrials,-0.053240765,IQ369991357,NYSE:AA,United States,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Iceland, Norway, Brazil, Canada, and internationally.",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AACG,ATA Creativity Global,ATA Creativity Global American Depositary Shares,2008.0,Consumer Discretionary,0.396683471,IQ39920439,NasdaqGM:AACG,China,"ATA Creativity Global, together with its subsidiaries, provides educational services to individual students through its training center network in China and internationally.",31.83093,3.6331,6.1374,57.4301,14.5229,10.4852,Unqualified,0.47924,4.68375,112.89925,10.32439,0.0,0.0,26.4149,13.091,10258.5816,7.9268,4.62278,0.0,45.43238,3.07086,3.4272,-13.47624,48.40566,-45.43238,0.0,4.61462,-5.12896,-3.17418
3,AAIC,Arlington Asset Investment Corp.,Arlington Asset Investment Corp Class A (new),,Real Estate,0.038439869,IQ20323,NYSE:AAIC,United States,Arlington Asset Investment Corp. (NYSE: AAIC) currently invests primarily in mortgage related and residential real estate and has elected to be taxed as a REIT.,14.209,13.942,89.0874,98.2687,-5.462101484974313,820.2195,Unqualified,0.01516,0.10539,0.0,0.0,0.0,95.783,0.0,0.0,0.0,-79.8981,-77.611,0.0,10.123,0.0,0.0,-1364.476,150.013,133.564,0.0,-77.611,753.331,-244.53
4,AAL,American Airlines Group Inc.,American Airlines Group Inc. Common Stock,,Consumer Discretionary,0.204822529,IQ168569,NasdaqGS:AAL,United States,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier.",19917.0,-1.8399,0.0,19.7419,1.8024,-7.3705,Unqualified,0.78703,0.85947,16.34799,12.35306,22.97055,0.0,-16.1955,0.0,0.0,1.0446,359.0,0.0,4399.0,14837.0,0.0,-5136.0,-4477.0,7298.0,0.0,930.0,-2723.0,-38.0
5,AAME,Atlantic American Corporation,Atlantic American Corporation Common Stock,,Finance,0.05016002,IQ252124,NasdaqGM:AAME,United States,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States.",102.71,1.0653,-1.5789,30.847,4.7015,-1.1751,Unqualified,0.38854,1.16554,0.0,0.0,78.93308,53.2309,2.987,0.0,0.0,-1.6965,4.829,0.0,20.129,0.0,2.128,3.404,75.272,21.109,0.0,-0.768,-15.87,-17.192
6,AAON,"AAON, Inc.",AAON Inc. Common Stock,,Industrials,0.249747201,IQ320500,NasdaqGS:AAON,United States,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada.",245.282,18.393,25.8445,27.5376,21.5083,11.3016,Unqualified,1.65199,3.11597,53.70829,66.91618,24.92658,0.0644,-12.3132,-3.0362,35.1541,10.9902,52.756,21.1897,25.639,59.896,0.0,116.207,117.999,-25.563,0.0,45.205,-9.639,25.37
7,AAP,"Advance Auto Parts, Inc.",Advance Auto Parts Inc.,,Consumer Discretionary,0.149997479,IQ24333,NYSE:AAP,United States,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks.",5412.623,9.5104,22.9369,48.8529,11.2743,4.9952,Unqualified with Additional Language,1.79314,1.28757,0.79206,213.98723,115.18307,20.5273,5.2577,13.5839,46.1527,3.6739,610.238,8.4339,100.018,1100.338,34.387,1287.268,1221.559,163.217,0.0,699.69,-185.539,62.66
8,AAPL,Apple Inc.,Apple Inc. Common Stock,1980.0,Technology,0.274301536,IQ24937,NasdaqGS:AAPL,United States,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide.",42905.0,17.5387,30.5356,40.1398,29.0152,19.1935,Unqualified,1.02555,2.74248,24.53105,10.1971,80.46511,0.0,14.4407,34.5808,5.867,31.3234,12449.0,0.0,23464.0,2954.0,206.0,23353.0,31187.0,-33992.0,0.0,10159.0,-17434.0,-6612.0
9,AAU,Almaden Minerals Ltd.,Almaden Minerals Ltd. Common Shares,2015.0,,-0.063628438,IQ5512625,TSX:AMM,Canada,"Almaden Minerals Ltd., an exploration stage company, engages in the acquisition, exploration, evaluation, and development of mineral properties.",2.16817,-4.6492,-9.2854,46.3482,-35.2767,-100.6515,Unqualified,0.09073,42.09475,0.0,82.30495,81.4242,0.0,49.579,0.0,0.0,5.1526,-0.76486,0.0,13.27556,8.97813,0.0,-29.31327,24.00459,-13.27556,0.0,-1.08055,-0.71084,0.78637
