,,2020-01-02 00:00:00
Adj Close,A,84.79967498779297
Adj Close,AA,21.373323440551758
Adj Close,AAC,
Adj Close,AACG,1.350000023841858
Adj Close,AACI,
Adj Close,AACIW,
Adj Close,AADI,9.600000381469727
Adj Close,AAIC,5.539999961853027
Adj Close,AAIC^B,
Adj Close,AAIC^C,
Adj Close,AAIN,
Adj Close,AAL,28.982892990112305
Adj Close,AAMC,
Adj Close,AAME,1.9796624183654785
Adj Close,AAM^A,
Adj Close,AAM^B,
Adj Close,AAN,
Adj Close,AAOI,12.5
Adj Close,AAON,49.4321403503418
Adj Close,AAP,155.478271484375
Adj Close,AAPL,74.20746612548828
Adj Close,AAT,42.23789978027344
Adj Close,AAU,0.5699999928474426
Adj Close,AAWW,27.729999542236328
Adj Close,AB,24.680702209472656
Adj Close,ABB,22.68890953063965
Adj Close,ABBV,80.13735961914062
Adj Close,ABC,82.06414031982422
Adj Close,ABCB,41.4711799621582
Adj Close,ABCL,
Adj Close,ABCM,
Adj Close,ABEO,80.25
Adj Close,ABEV,4.410190582275391
Adj Close,ABG,111.33000183105469
Adj Close,ABGI,
Adj Close,ABIO,5.679999828338623
Adj Close,ABM,36.93311309814453
Adj Close,ABNB,
Adj Close,ABOS,
Adj Close,ABR,11.516830444335938
Adj Close,ABR^D,
Adj Close,ABR^E,
Adj Close,ABR^F,
Adj Close,ABSI,
Adj Close,ABST,6.440511703491211
Adj Close,ABT,84.00115966796875
Adj Close,ABUS,2.940000057220459
Adj Close,ABVC,5.025000095367432
Adj Close,AC,38.881690979003906
Adj Close,ACA,45.39469528198242
Adj Close,ACABW,
Adj Close,ACAC,
Adj Close,ACACU,
Adj Close,ACAD,41.11000061035156
Adj Close,ACAH,
Adj Close,ACAHW,
Adj Close,ACAQ,
Adj Close,ACAX,
Adj Close,ACB,24.239999771118164
Adj Close,ACBA,
Adj Close,ACBAU,
Adj Close,ACBAW,
Adj Close,ACCD,
Adj Close,ACCO,8.473861694335938
Adj Close,ACDC,
Adj Close,ACDCW,
Adj Close,ACEL,12.5
Adj Close,ACER,3.7899999618530273
Adj Close,ACET,9.869999885559082
Adj Close,ACGL,43.400001525878906
Adj Close,ACGLN,
Adj Close,ACGLO,24.2313289642334
Adj Close,ACHC,33.150001525878906
Adj Close,ACHL,
Adj Close,ACHR,
Adj Close,ACHV,10.399999618530273
Adj Close,ACI,
Adj Close,ACIU,8.65999984741211
Adj Close,ACIW,38.20000076293945
Adj Close,ACLS,24.520000457763672
Adj Close,ACLX,
