,,2010-01-04 00:00:00
Adj Close,A,20.43492889404297
Adj Close,AA,36.938270568847656
Adj Close,AAC,
Adj Close,AACG,0.047791849821805954
Adj Close,AACI,
Adj Close,AACIW,
Adj Close,AADI,
Adj Close,AAIC,3.7992355823516846
Adj Close,AAIC^B,
Adj Close,AAIC^C,
Adj Close,AAIN,
Adj Close,AAL,4.496876239776611
Adj Close,AAMC,
Adj Close,AAME,1.21349036693573
Adj Close,AAM^A,
Adj Close,AAM^B,
Adj Close,AAN,
Adj Close,AAOI,
Adj Close,AAON,5.318481922149658
Adj Close,AAP,38.43269348144531
Adj Close,AAPL,6.572423458099365
Adj Close,AAT,
Adj Close,AAU,1.100000023841858
Adj Close,AAWW,38.20000076293945
Adj Close,AB,10.787421226501465
Adj Close,ABB,13.037511825561523
Adj Close,ABBV,
Adj Close,ABC,22.101795196533203
Adj Close,ABCB,6.518843650817871
Adj Close,ABCL,
Adj Close,ABCM,
Adj Close,ABEO,4000.0
Adj Close,ABEV,2.384544610977173
Adj Close,ABG,11.829999923706055
Adj Close,ABGI,
Adj Close,ABIO,2479.679931640625
Adj Close,ABM,15.946027755737305
Adj Close,ABNB,
Adj Close,ABOS,
Adj Close,ABR,0.8364987373352051
Adj Close,ABR^D,
Adj Close,ABR^E,
Adj Close,ABR^F,
Adj Close,ABSI,
Adj Close,ABST,3.8899261951446533
Adj Close,ABT,19.778837203979492
Adj Close,ABUS,4.599999904632568
Adj Close,ABVC,34394.90625
Adj Close,AC,
Adj Close,ACA,
Adj Close,ACABW,
Adj Close,ACAC,
Adj Close,ACACU,
Adj Close,ACAD,1.3600000143051147
Adj Close,ACAH,
Adj Close,ACAHW,
Adj Close,ACAQ,
Adj Close,ACAX,
Adj Close,ACB,
Adj Close,ACBA,
Adj Close,ACBAU,
Adj Close,ACBAW,
Adj Close,ACCD,
Adj Close,ACCO,6.996675491333008
Adj Close,ACDC,
Adj Close,ACDCW,
Adj Close,ACEL,
Adj Close,ACER,663.3333129882812
Adj Close,ACET,
Adj Close,ACGL,7.994443893432617
Adj Close,ACGLN,
Adj Close,ACGLO,
Adj Close,ACHC,4.599999904632568
Adj Close,ACHL,
Adj Close,ACHR,
Adj Close,ACHV,48048.0
Adj Close,ACI,
Adj Close,ACIU,
Adj Close,ACIW,5.843332767486572
Adj Close,ACLS,5.800000190734863
Adj Close,ACLX,
Adj Close,ACM,27.85684585571289
Adj Close,ACMR,
Adj Close,ACN,32.97087097167969
Adj Close,ACNB,7.966623783111572
Adj Close,ACNT,7.1555023193359375
Adj Close,ACON,
Adj Close,ACONW,
Adj Close,ACOR,152.6999969482422
Adj Close,ACP,
Adj Close,ACP^A,
Adj Close,ACQR,
Adj Close,ACQRU,
Adj Close,ACQRW,
Adj Close,ACR,19.32179069519043
Adj Close,ACRE,
Adj Close,ACRO,
Adj Close,ACRS,
Adj Close,ACRV,
Adj Close,ACRX,
Adj Close,ACR^C,
Adj Close,ACR^D,
Adj Close,ACST,
Adj Close,ACT,
Adj Close,ACTG,8.808112144470215
Adj Close,ACU,7.0369343757629395
Adj Close,ACV,
Adj Close,ACVA,
Adj Close,ACXP,
Adj Close,ADAG,
Adj Close,ADAL,
Adj Close,ADAP,
Adj Close,ADBE,37.09000015258789
Adj Close,ADC,12.596613883972168
Adj Close,ADCT,
Adj Close,ADC^A,
Adj Close,ADD,2856.0
Adj Close,ADEA,6.2989420890808105
Adj Close,ADER,
Adj Close,ADERW,
Adj Close,ADES,2.3621673583984375
Adj Close,ADEX,
Adj Close,ADI,23.69408416748047
Adj Close,ADIL,
Adj Close,ADM,22.82187271118164
Adj Close,ADMA,
Adj Close,ADMP,5.440000057220459
Adj Close,ADN,
Adj Close,ADNT,
Adj Close,ADNWW,
Adj Close,ADOC,
Adj Close,ADOCR,
Adj Close,ADOCW,
Adj Close,ADP,28.26755142211914
Adj Close,ADPT,
Adj Close,ADRA,
Adj Close,ADRT,
Adj Close,ADSE,
Adj Close,ADSEW,
Adj Close,ADSK,25.670000076293945
Adj Close,ADT,
Adj Close,ADTH,
Adj Close,ADTN,18.137624740600586
Adj Close,ADTX,
Adj Close,ADUS,9.319999694824219
Adj Close,ADV,
Adj Close,ADVM,
Adj Close,ADX,3.979832649230957
Adj Close,ADXN,
Adj Close,AE,17.30094337463379
Adj Close,AEAC,
Adj Close,AEACU,
Adj Close,AEACW,
Adj Close,AEAE,
Adj Close,AEAEW,
Adj Close,AEE,17.48233413696289
Adj Close,AEF,5.453058242797852
Adj Close,AEFC,
Adj Close,AEG,3.8185722827911377
Adj Close,AEHA,
Adj Close,AEHAW,
Adj Close,AEHL,173.95187377929688
Adj Close,AEHR,1.399999976158142
Adj Close,AEI,
Adj Close,AEIS,15.539505958557129
Adj Close,AEL,6.791745662689209
Adj Close,AEL^A,
Adj Close,AEL^B,
Adj Close,AEM,47.292484283447266
Adj Close,AEMD,232.5
Adj Close,AENZ,
Adj Close,AEO,10.703700065612793
Adj Close,AEP,21.677907943725586
Adj Close,AEPPZ,
Adj Close,AER,9.100000381469727
Adj Close,AERC,
Adj Close,AES,10.168638229370117
Adj Close,AESC,
Adj Close,AEVA,
Adj Close,AEY,2.009999990463257
Adj Close,AEYE,
Adj Close,AEZS,12300.0
Adj Close,AFARU,
Adj Close,AFARW,
Adj Close,AFB,6.924774646759033
Adj Close,AFBI,
Adj Close,AFCG,
Adj Close,AFG,14.057918548583984
Adj Close,AFGB,
Adj Close,AFGC,
Adj Close,AFGD,
Adj Close,AFGE,
Adj Close,AFIB,
Adj Close,AFL,17.580524444580078
Adj Close,AFMD,
Adj Close,AFRI,
Adj Close,AFRIW,
Adj Close,AFRM,
Adj Close,AFT,
Adj Close,AFTR,
Adj Close,AFYA,
Adj Close,AG,4.095259189605713
Adj Close,AGAC,
Adj Close,AGAE,
Adj Close,AGBA,
Adj Close,AGBAW,
Adj Close,AGCO,29.70536231994629
Adj Close,AGD,6.669886112213135
Adj Close,AGE,
Adj Close,AGEN,3.8399999141693115
Adj Close,AGFS,
Adj Close,AGFY,
Adj Close,AGGR,
Adj Close,AGGRW,
Adj Close,AGI,11.013463973999023
Adj Close,AGIL,
Adj Close,AGILW,
Adj Close,AGIO,
Adj Close,AGL,
Adj Close,AGLE,
Adj Close,AGM,5.310905456542969
Adj Close,AGMH,
Adj Close,AGM^C,
Adj Close,AGM^D,
Adj Close,AGM^E,
Adj Close,AGM^F,
Adj Close,AGM^G,
Adj Close,AGNC,5.452157974243164
Adj Close,AGNCL,
Adj Close,AGNCM,
Adj Close,AGNCN,
Adj Close,AGNCO,
Adj Close,AGNCP,
Adj Close,AGO,18.208290100097656
Adj Close,AGR,
Adj Close,AGRI,
Adj Close,AGRIW,
Adj Close,AGRO,
Adj Close,AGRX,
